1,"nova","Failed to encrypt text: %(reasons"
2,"nova","Failed to decrypt text: %(reasons"
3,"nova","Failed to revoke certificate for %(project_ids"
4,"nova","Virtual Interface creation failed"
5,"nova","Creation of virtual interface with"
6,"nova","Virtual interface plugin failed"
7,"nova","Connection to glance host %(hosts:%(ports failed:"
8,"nova","Connection to cinder host failed: %(reasons"
9,"nova","Not authorized."
10,"nova","User does not have admin privileges"
11,"nova","Policy doesn't allow %(actions to be performed."
12,"nova","Volume resource quota exceeded"
13,"nova","Image %(image_ids is not active."
14,"nova","Not authorized for image %(image_ids."
15,"nova","Unacceptable parameters."
16,"nova","Block Device Mapping is Invalid."
17,"nova","Block Device Mapping is Invalid:"
18,"nova","Block Device Mapping is Invalid:"
19,"nova","Block Device Mapping is Invalid:"
20,"nova","Block Device Mapping is Invalid:"
21,"nova","Block Device Mapping is Invalid:"
22,"nova","Block Device Mapping is Invalid:"
23,"nova","Ephemeral disks requested are larger than"
24,"nova","Swap drive requested is larger than instance type allows."
25,"nova","Block Device Mapping is Invalid:"
26,"nova","Block Device Mapping cannot"
27,"nova","Block Device %(ids is not bootable."
28,"nova","Attribute not supported: %(attrs"
29,"nova","Volume %(volume_ids could not be attached."
30,"nova","Volume %(volume_ids is not attached to anything"
31,"nova","Volume %(volume_ids did not finish being created"
32,"nova","Volume encryption is not supported for %(volume_types"
33,"nova","Keypair data is invalid: %(reasons"
34,"nova","The request is invalid."
35,"nova","Invalid input received: %(reasons"
36,"nova","Invalid volume: %(reasons"
37,"nova","Invalid volume access mode: %(access_modes"
38,"nova","Invalid metadata: %(reasons"
39,"nova","Invalid metadata size: %(reasons"
40,"nova","Invalid port range %(from_ports:%(to_ports. %(msgs"
41,"nova","Invalid IP protocol %(protocols."
42,"nova","Invalid content type %(content_types."
43,"nova","API Version String %(versions is of invalid format. Must"
44,"nova","API version %(versions is not supported on this method."
45,"nova","Version %(req_vers is not supported by the API. Minimum"
46,"nova","%(errs"
47,"nova","Unacceptable parameters."
48,"nova","Cannot add host to aggregate"
49,"nova","Cannot remove host from aggregate"
50,"nova","Cannot update aggregate"
51,"nova","Cannot update metadata of aggregate"
52,"nova","Group not valid. Reason: %(reasons"
53,"nova","Sort key supplied was not valid."
54,"nova","Invalid datetime string: %(reasons"
55,"nova","Instance %(instance_uuids in %(attrs %(states. Cannot"
56,"nova","Instance %(instance_ids is not running."
57,"nova","Instance %(instance_ids is not in rescue mode"
58,"nova","Instance %(instance_ids cannot be rescued: %(reasons"
59,"nova","Instance %(instance_ids is not ready"
60,"nova","Failed to suspend instance: %(reasons"
61,"nova","Failed to resume instance: %(reasons"
62,"nova","Failed to power on instance: %(reasons"
63,"nova","Failed to power off instance: %(reasons"
64,"nova","Failed to reboot instance: %(reasons"
65,"nova","Failed to terminate instance: %(reasons"
66,"nova","Failed to deploy instance: %(reasons"
67,"nova","Failed to launch instances: %(reasons"
68,"nova","Failed to launch instances: %(reasons"
69,"nova","Service is unavailable at this time."
70,"nova","Insufficient compute resources: %(reasons."
71,"nova","Connection to the hypervisor is broken on host: %(hosts"
72,"nova","Compute service of %(hosts is unavailable at this time."
73,"nova","Compute service of %(hosts is still in use."
74,"nova","Unable to migrate instance (%(instance_ids"
75,"nova","The supplied hypervisor type of is invalid."
76,"nova","This compute node's hypervisor is older than the minimum"
77,"nova","The instance requires a newer hypervisor version than"
78,"nova","This service is older (v%(thisveri than the minimum"
79,"nova","The supplied disk path (%(paths already exists,"nova","
80,"nova","The supplied device path (%(paths is invalid."
81,"nova","The supplied device path (%(paths is in use."
82,"nova","The supplied device (%(devices is busy."
83,"nova","Unacceptable CPU info: %(reasons"
84,"nova","%(addresss is not a valid IP v4/6 address."
85,"nova","VLAN tag is not appropriate for the port group"
86,"nova","vSwitch which contains the port group %(bridges is"
87,"nova","Disk format %(disk_formats is not acceptable"
88,"nova","Disk info file is invalid: %(reasons"
89,"nova","Failed to read or write disk info file: %(reasons"
90,"nova","Image %(image_ids is unacceptable: %(reasons"
91,"nova","Request of image %(image_ids got BadRequest response:"
92,"nova","Instance %(instance_ids is unacceptable: %(reasons"
93,"nova","Ec2 id %(ec2_ids is unacceptable."
94,"nova","Expected a uuid but received %(uuids."
95,"nova","Invalid ID received %(ids."
96,"nova","Constraint not met."
97,"nova","Resource could not be found."
98,"nova","No agent-build associated with id %(ids."
99,"nova","Agent-build with hypervisor %(hypervisors os %(oss"
100,"nova","Volume %(volume_ids could not be found."
101,"nova","Undefined Block Device Mapping root: BlockDeviceMappingList"
102,"nova","No Block Device Mapping with id %(ids."
103,"nova","No volume Block Device Mapping with id %(volume_ids."
104,"nova","No volume Block Device Mapping at path: %(paths"
105,"nova","Snapshot %(snapshot_ids could not be found."
106,"nova","No disk at %(locations"
107,"nova","Could not find a handler for %(driver_types volume."
108,"nova","Invalid image href %(image_hrefs."
109,"nova","Requested image %(images"
110,"nova","Image %(image_ids could not be found."
111,"nova","The current driver does not support"
112,"nova","Image %(image_ids could not be found. The nova EC2 API"
113,"nova","Project %(project_ids could not be found."
114,"nova","Cannot find SR to read/write VDI."
115,"nova","Instance %(uuids has no mapping to a cell."
116,"nova","Network %(network_ids is duplicated."
117,"nova","Failed to release IP %(addresss with MAC %(mac_addresss"
