12,"nova","Failed to encrypt text: %(reasons"
12,"nova","Failed to decrypt text: %(reasons"
12,"nova","Failed to revoke certificate for %(project_ids"
12,"nova","Virtual Interface creation failed"
12,"nova","Creation of virtual interface with"
12,"nova","Virtual interface plugin failed"
12,"nova","Connection to glance host %(hosts:%(ports failed:"
12,"nova","Connection to cinder host failed: %(reasons"
12,"nova","Not authorized."
12,"nova","User does not have admin privileges"
12,"nova","Policy doesn't allow %(actions to be performed."
12,"nova","Volume resource quota exceeded"
12,"nova","Image %(image_ids is not active."
12,"nova","Not authorized for image %(image_ids."
12,"nova","Unacceptable parameters."
12,"nova","Block Device Mapping is Invalid."
12,"nova","Block Device Mapping is Invalid:"
12,"nova","Block Device Mapping is Invalid:"
12,"nova","Block Device Mapping is Invalid:"
12,"nova","Block Device Mapping is Invalid:"
12,"nova","Block Device Mapping is Invalid:"
12,"nova","Block Device Mapping is Invalid:"
12,"nova","Ephemeral disks requested are larger than"
12,"nova","Swap drive requested is larger than instance type allows."
12,"nova","Block Device Mapping is Invalid:"
12,"nova","Block Device Mapping cannot"
12,"nova","Block Device %(ids is not bootable."
12,"nova","Attribute not supported: %(attrs"
12,"nova","Volume %(volume_ids could not be attached."
12,"nova","Volume %(volume_ids is not attached to anything"
12,"nova","Volume %(volume_ids did not finish being created"
12,"nova","Volume encryption is not supported for %(volume_types"
12,"nova","Keypair data is invalid: %(reasons"
12,"nova","The request is invalid."
12,"nova","Invalid input received: %(reasons"
12,"nova","Invalid volume: %(reasons"
12,"nova","Invalid volume access mode: %(access_modes"
12,"nova","Invalid metadata: %(reasons"
12,"nova","Invalid metadata size: %(reasons"
12,"nova","Invalid port range %(from_ports:%(to_ports. %(msgs"
12,"nova","Invalid IP protocol %(protocols."
12,"nova","Invalid content type %(content_types."
12,"nova","API Version String %(versions is of invalid format. Must"
12,"nova","API version %(versions is not supported on this method."
12,"nova","Version %(req_vers is not supported by the API. Minimum"
12,"nova","%(errs"
12,"nova","Unacceptable parameters."
12,"nova","Cannot add host to aggregate"
12,"nova","Cannot remove host from aggregate"
12,"nova","Cannot update aggregate"
12,"nova","Cannot update metadata of aggregate"
12,"nova","Group not valid. Reason: %(reasons"
12,"nova","Sort key supplied was not valid."
12,"nova","Invalid datetime string: %(reasons"
12,"nova","Instance %(instance_uuids in %(attrs %(states. Cannot"
12,"nova","Instance %(instance_ids is not running."
12,"nova","Instance %(instance_ids is not in rescue mode"
12,"nova","Instance %(instance_ids cannot be rescued: %(reasons"
12,"nova","Instance %(instance_ids is not ready"
12,"nova","Failed to suspend instance: %(reasons"
12,"nova","Failed to resume instance: %(reasons"
12,"nova","Failed to power on instance: %(reasons"
12,"nova","Failed to power off instance: %(reasons"
12,"nova","Failed to reboot instance: %(reasons"
12,"nova","Failed to terminate instance: %(reasons"
12,"nova","Failed to deploy instance: %(reasons"
12,"nova","Failed to launch instances: %(reasons"
12,"nova","Failed to launch instances: %(reasons"
12,"nova","Service is unavailable at this time."
12,"nova","Insufficient compute resources: %(reasons."
12,"nova","Connection to the hypervisor is broken on host: %(hosts"
12,"nova","Compute service of %(hosts is unavailable at this time."
12,"nova","Compute service of %(hosts is still in use."
12,"nova","Unable to migrate instance (%(instance_ids"
12,"nova","The supplied hypervisor type of is invalid."
12,"nova","This compute node's hypervisor is older than the minimum"
12,"nova","The instance requires a newer hypervisor version than"
12,"nova","This service is older (v%(thisveri than the minimum"
12,"nova","The supplied disk path (%(paths already exists,"nova","
12,"nova","The supplied device path (%(paths is invalid."
12,"nova","The supplied device path (%(paths is in use."
12,"nova","The supplied device (%(devices is busy."
