1,"nova","Failed to encrypt text: %(reasons"
1,"nova","Failed to decrypt text: %(reasons"
1,"nova","Failed to revoke certificate for %(project_ids"
1,"nova","Virtual Interface creation failed"
1,"nova","Creation of virtual interface with"
1,"nova","Virtual interface plugin failed"
1,"nova","Connection to glance host %(hosts:%(ports failed:"
1,"nova","Connection to cinder host failed: %(reasons"
1,"nova","Not authorized."
1,"nova","User does not have admin privileges"
1,"nova","Policy doesn't allow %(actions to be performed."
1,"nova","Volume resource quota exceeded"
1,"nova","Image %(image_ids is not active."
1,"nova","Not authorized for image %(image_ids."
1,"nova","Unacceptable parameters."
1,"nova","Block Device Mapping is Invalid."
1,"nova","Block Device Mapping is Invalid:"
1,"nova","Block Device Mapping is Invalid:"
1,"nova","Block Device Mapping is Invalid:"
1,"nova","Block Device Mapping is Invalid:"
1,"nova","Block Device Mapping is Invalid:"
1,"nova","Block Device Mapping is Invalid:"
1,"nova","Ephemeral disks requested are larger than"
1,"nova","Swap drive requested is larger than instance type allows."
1,"nova","Block Device Mapping is Invalid:"
1,"nova","Block Device Mapping cannot"
1,"nova","Block Device %(ids is not bootable."
1,"nova","Attribute not supported: %(attrs"
1,"nova","Volume %(volume_ids could not be attached."
1,"nova","Volume %(volume_ids is not attached to anything"
1,"nova","Volume %(volume_ids did not finish being created"
1,"nova","Volume encryption is not supported for %(volume_types"
1,"nova","Keypair data is invalid: %(reasons"
1,"nova","The request is invalid."
1,"nova","Invalid input received: %(reasons"
1,"nova","Invalid volume: %(reasons"
2,"nova","Invalid volume access mode: %(access_modes"
2,"nova","Invalid metadata: %(reasons"
2,"nova","Invalid metadata size: %(reasons"
2,"nova","Invalid port range %(from_ports:%(to_ports. %(msgs"
2,"nova","Invalid IP protocol %(protocols."
2,"nova","Invalid content type %(content_types."
2,"nova","API Version String %(versions is of invalid format. Must"
2,"nova","API version %(versions is not supported on this method."
2,"nova","Version %(req_vers is not supported by the API. Minimum"
2,"nova","%(errs"
2,"nova","Unacceptable parameters."
2,"nova","Cannot add host to aggregate"
2,"nova","Cannot remove host from aggregate"
2,"nova","Cannot update aggregate"
2,"nova","Cannot update metadata of aggregate"
2,"nova","Group not valid. Reason: %(reasons"
2,"nova","Sort key supplied was not valid."
2,"nova","Invalid datetime string: %(reasons"
2,"nova","Instance %(instance_uuids in %(attrs %(states. Cannot"
2,"nova","Instance %(instance_ids is not running."
2,"nova","Instance %(instance_ids is not in rescue mode"
2,"nova","Instance %(instance_ids cannot be rescued: %(reasons"
2,"nova","Instance %(instance_ids is not ready"
2,"nova","Failed to suspend instance: %(reasons"
2,"nova","Failed to resume instance: %(reasons"
2,"nova","Failed to power on instance: %(reasons"
2,"nova","Failed to power off instance: %(reasons"
2,"nova","Failed to reboot instance: %(reasons"
2,"nova","Failed to terminate instance: %(reasons"
2,"nova","Failed to deploy instance: %(reasons"
2,"nova","Failed to launch instances: %(reasons"
2,"nova","Failed to launch instances: %(reasons"
2,"nova","Service is unavailable at this time."
2,"nova","Insufficient compute resources: %(reasons."
3,"nova","Connection to the hypervisor is broken on host: %(hosts"
3,"nova","Compute service of %(hosts is unavailable at this time."
3,"nova","Compute service of %(hosts is still in use."
3,"nova","Unable to migrate instance (%(instance_ids"
3,"nova","The supplied hypervisor type of is invalid."
3,"nova","This compute node's hypervisor is older than the minimum"
3,"nova","The instance requires a newer hypervisor version than"
3,"nova","This service is older (v%(thisveri than the minimum"
3,"nova","The supplied disk path (%(paths already exists,"nova","
3,"nova","The supplied device path (%(paths is invalid."
3,"nova","The supplied device path (%(paths is in use."
3,"nova","The supplied device (%(devices is busy."
3,"nova","Unacceptable CPU info: %(reasons"
3,"nova","%(addresss is not a valid IP v4/6 address."
3,"nova","VLAN tag is not appropriate for the port group"
3,"nova","vSwitch which contains the port group %(bridges is"
3,"nova","Disk format %(disk_formats is not acceptable"
3,"nova","Disk info file is invalid: %(reasons"
3,"nova","Failed to read or write disk info file: %(reasons"
3,"nova","Image %(image_ids is unacceptable: %(reasons"
3,"nova","Request of image %(image_ids got BadRequest response:"
3,"nova","Instance %(instance_ids is unacceptable: %(reasons"
3,"nova","Ec2 id %(ec2_ids is unacceptable."
3,"nova","Expected a uuid but received %(uuids."
3,"nova","Invalid ID received %(ids."
3,"nova","Constraint not met."
3,"nova","Resource could not be found."
3,"nova","No agent-build associated with id %(ids."
3,"nova","Agent-build with hypervisor %(hypervisors os %(oss"
3,"nova","Volume %(volume_ids could not be found."
3,"nova","Undefined Block Device Mapping root: BlockDeviceMappingList"
3,"nova","No Block Device Mapping with id %(ids."
3,"nova","No volume Block Device Mapping with id %(volume_ids."
3,"nova","No volume Block Device Mapping at path: %(paths"
3,"nova","Snapshot %(snapshot_ids could not be found."
4,"nova","No disk at %(locations"
4,"nova","Could not find a handler for %(driver_types volume."
4,"nova","Invalid image href %(image_hrefs."
4,"nova","Requested image %(images"
4,"nova","Image %(image_ids could not be found."
4,"nova","The current driver does not support"
4,"nova","Image %(image_ids could not be found. The nova EC2 API"
4,"nova","Project %(project_ids could not be found."
4,"nova","Cannot find SR to read/write VDI."
4,"nova","Instance %(uuids has no mapping to a cell."
4,"nova","Network %(network_ids is duplicated."
4,"nova","Failed to release IP %(addresss with MAC %(mac_addresss"
4,"nova","Network %(network_ids is still in use."
4,"nova","Network set host failed for network %(network_ids."
4,"nova","%(reqs is required to create a network."
4,"nova","Maximum allowed length for 'label' is 255."
4,"nova","%(keys must be an integer."
4,"nova","%(cidrs is not a valid ip network."
4,"nova","%(addresss is not a valid ip address."
4,"nova","%(addresss is not within %(cidrs."
4,"nova","Detected existing vlan with id %(vland"
4,"nova","Network %(network_ids could not be found."
4,"nova","Port id %(port_ids could not be found."
4,"nova","Network could not be found for bridge %(bridges"
4,"nova","Network could not be found for uuid %(uuids"
